entry,Clinical Synopsis
1639,Hypertrophic cardiomyopathy
11664,Left ventricular noncompaction cardiomyopathy
1638,Cardiomyopathy
1644,Dilated cardiomyopathy
1725,Dilated cardiomyopathy
5159,Dilated cardiomyopathy
200130,Dilated cardiomyopathy
1645,Sudden cardiac death
5161,Sudden cardiac death
252,Microcephaly
1366,Microcephaly
5485,Microcephaly
5489,Microcephaly
5497,Microcephaly
270,Delayed cranial suture closure
2704,Delayed cranial suture closure
3794,Delayed cranial suture closure
416,Choanal atresia
453,Choanal atresia
4503,Choanal atresia
754,Global developmental delay
1255,Global developmental delay
1263,Global developmental delay
1277,Global developmental delay
1292,Global developmental delay
2433,Global developmental delay
2473,Global developmental delay
2532,Global developmental delay
6793,Global developmental delay
6867,Global developmental delay
6885,Global developmental delay
6935,Global developmental delay
7005,Global developmental delay
7094,Global developmental delay
7106,Global developmental delay
7174,Global developmental delay
7224,Global developmental delay
7228,Global developmental delay
7342,Global developmental delay
1509,Short stature
3501,Short stature
3507,Short stature
3512,Short stature
3518,Short stature
3519,Short stature
4322,Short stature
8871,Short stature
8882,Short stature
8888,Short stature
8913,Short stature
2455,Proximal muscle weakness in lower limbs
8941,Proximal muscle weakness in lower limbs
8994,Proximal muscle weakness in lower limbs
2515,Waddling gait
200055,Small hand
1716,Wolff-Parkinson-White syndrome
1712,Left ventricular hypertrophy
5171,Left ventricular hypertrophy
2094,Dyspnea
11712,Right bundle branch block
1723,Restrictive cardiomyopathy
4755,Supraventricular tachycardia
518,Cataract
1324,Muscle weakness
2309,Muscle weakness
8979,Muscle weakness
9012,Muscle weakness
9061,Muscle weakness
2166,Impaired vibration sensation in the lower limbs
2178,EMG: neuropathic changes
2547,EMG: neuropathic changes
3445,EMG: neuropathic changes
7279,EMG: neuropathic changes
2355,Difficulty walking
7101,Difficulty walking
9030,Difficulty walking
2378,Hand tremor
2403,Positive Romberg sign
2769,Kyphosis
2808,Kyphosis
3314,Kyphosis
3394,Muscle spasm
9018,Muscle spasm
3474,Sensory impairment
100964,Sensory impairment
3482,EMG: axonal abnormality
7049,Limb fasciculations
7289,Limb fasciculations
8964,Nonprogressive muscular atrophy
12125,Prostate cancer
30682,Left ventricular noncompaction
1670,Asymmetric septal hypertrophy
3157,Peripheral neuropathy
3407,Peripheral neuropathy
7088,Peripheral neuropathy
7235,Peripheral neuropathy
7355,Peripheral neuropathy
9830,Peripheral neuropathy
1695,Cardiac arrest
1649,Tachycardia
1720,Tachycardia
6678,Ventricular extrasystoles
6682,Ventricular extrasystoles
12722,Heart block
12817,Noncompaction cardiomyopathy
4757,Paroxysmal atrial fibrillation
1677,Coronary artery atherosclerosis
5138,Coronary artery atherosclerosis
3124,Hypercholesterolemia
8154,Hypercholesterolemia
8173,Hypercholesterolemia
8359,Hypercholesterolemia
1657,Prolonged QT interval
11717,Atrioventricular reentrant tachycardia
4756,Ventricular tachycardia
113,Polycystic kidney dysplasia
4716,Polycystic kidney dysplasia
4739,Polycystic kidney dysplasia
4740,Polycystic kidney dysplasia
8645,Polycystic kidney dysplasia
8673,Polycystic kidney dysplasia
8699,Polycystic kidney dysplasia
3077,Hyperlipidemia
8159,Hyperlipidemia
8356,Hyperlipidemia
1656,Arrhythmia
1661,Arrhythmia
1665,Arrhythmia
1666,Arrhythmia
1687,Arrhythmia
1721,Arrhythmia
4351,Arrhythmia
5158,Arrhythmia
11675,Arrhythmia
1662,Bradycardia
6673,Reduced systolic function
11663,Right ventricular cardiomyopathy
31193,Abnormal morphology of right ventricular trabeculae
730,Intellectual disability
1249,Intellectual disability
1267,Intellectual disability
1286,Intellectual disability
2122,Intellectual disability
2192,Intellectual disability
2316,Intellectual disability
2382,Intellectual disability
2386,Intellectual disability
2402,Intellectual disability
2458,Intellectual disability
2482,Intellectual disability
2499,Intellectual disability
2543,Intellectual disability
3767,Intellectual disability
6833,Intellectual disability
7154,Intellectual disability
7176,Intellectual disability
7180,Intellectual disability
HP:0001249,NO RESULT
1522,Death in infancy
3816,Death in infancy
3817,Death in infancy
3818,Death in infancy
3823,Death in infancy
3827,Death in infancy
100613,Death in early adulthood
1630,Atrial septal defect
1631,Atrial septal defect
9054,Scapuloperoneal myopathy
1252,Muscular hypotonia
1318,Muscular hypotonia
3198,Myopathy
3569,Myopathy
3705,Myopathy
3742,Myopathy
3802,Myopathy
544,External ophthalmoplegia
7762,External ophthalmoplegia
750,Delayed speech and language development
2116,Delayed speech and language development
2117,Delayed speech and language development
2336,Delayed speech and language development
2399,Delayed speech and language development
2498,Delayed speech and language development
6936,Delayed speech and language development
7004,Delayed speech and language development
7127,Delayed speech and language development
7170,Delayed speech and language development
7172,Delayed speech and language development
1295,Tremor
1309,Tremor
1337,Tremor
1332,Dystonia
2328,Dystonia
2650,Scoliosis
2770,Scoliosis
3303,Scoliosis
3317,Scoliosis
3415,Scoliosis
10953,Noncommunicating hydrocephalus
11342,Mild global developmental delay
100595,Camptocormia
1715,Atrial fibrillation
5110,Atrial fibrillation
5179,Atrial fibrillation
4749,Atrial flutter
31192,Abnormal morphology of left ventricular trabeculae
2460,Distal muscle weakness
2598,Distal muscle weakness
2935,Distal muscle weakness
3497,Distal muscle weakness
6940,Distal muscle weakness
9008,Distal muscle weakness
1663,Ventricular fibrillation
5166,Ventricular fibrillation
11705,First degree atrioventricular block
767,Pectus excavatum
6613,Pectus excavatum
6617,Pectus excavatum
1290,Generalized hypotonia
5620,Hypermobility of interphalangeal joints
8316,Abnormal mitochondria in muscle tissue
286,Epicanthus
624,Epicanthus
7930,Epicanthus
2194,Delayed gross motor development
6905,Delayed gross motor development
7046,Delayed gross motor development
8973,Delayed gross motor development
4442,Sagittal craniosynostosis
4443,Lambdoidal craniosynostosis
4486,Lambdoidal craniosynostosis
11623,Muscular ventricular septal defect
6674,Ebstein anomaly of the tricuspid valve
10316,Ebstein anomaly of the tricuspid valve
2064,Spastic gait
2313,Spastic paraparesis
7191,Spastic paraparesis
3477,Peripheral axonal neuropathy
6814,Peripheral axonal neuropathy
6842,Peripheral axonal neuropathy
7169,Peripheral axonal neuropathy
8304,Peripheral axonal neuropathy
100294,Muscle fiber atrophy
100295,Muscle fiber atrophy
100749,Chest pain
3326,Myalgia
3718,Myalgia
12113,Abnormal circulating creatine concentration
1888,Lymphopenia
2721,Immunodeficiency
5362,Immunodeficiency
5371,Immunodeficiency
4430,Severe combined immunodeficiency
5387,Combined immunodeficiency
5402,Abnormality of T cell physiology
11840,Abnormality of T cell physiology
10987,Abnormal cellular immune system morphology
12818,Biventricular noncompaction cardiomyopathy
1636,Tetralogy of Fallot
783,Scapular winging
3691,Scapular winging
2177,EMG abnormality
3457,EMG abnormality
3751,EMG abnormality
3753,EMG abnormality
100286,EMG abnormality
3322,EMG: myopathic abnormalities
3458,EMG: myopathic abnormalities
3711,EMG: myopathic abnormalities
9021,EMG: myopathic abnormalities
3547,Shoulder girdle muscle weakness
3695,Shoulder girdle muscle weakness
9009,Shoulder girdle muscle weakness
3692,Pelvic girdle muscle weakness
3749,Pelvic girdle muscle weakness
8999,Pelvic girdle muscle weakness
9036,Pelvic girdle muscle weakness
8948,Proximal upper limb amyotrophy
8995,Proximal upper limb amyotrophy
4758,Effort-induced polymorphic ventricular tachycardia
12265,Ciliary dyskinesia
