entry,MedGen Title
C4021546,Abnormal mitochondria in muscle tissue
C4531288,Abnormal morphology of left ventricular trabeculae
C4531287,Abnormal morphology of right ventricular trabeculae
C4023612,Abnormality of cellular immune system
C4020731,Abnormality of creatine metabolism
C4023166,Abnormality of T cell physiology
C2751492,Amyloidogenic transthyretin amyloidosis(FAP)
C0855329,Arrhythmia
C1836906,"Arrhythmogenic right ventricular cardiomyopathy, type 9(ARVD9)"
C0349788,Arrhythmogenic right ventricular cardiomyopathy(ARVD)
C1862511,"Arrhythmogenic right ventricular dysplasia, familial 1(ARVD1)"
C0205700,Asymmetric septal hypertrophy(ASH)
C0004238,Atrial fibrillation
C0004239,Atrial flutter
C1862389,Atrial septal defect 1(ASD1)
C2748552,Atrial septal defect 5(ASD5)
C0018817,Atrial septal defect(ASD)
C0340477,AV nodal reentry tachycardia
C4022713,Biventricular noncompaction cardiomyopathy
C0428977,Bradycardia
C1142166,Brugada syndrome(SUNDS)
C0018790,Cardiac arrest
C2751427,"Cardiomyopathy, familial hypertrophic, 4, susceptibility to"
C4016270,"Cardiomyopathy, hypertrophic, midventricular, digenic"
CN221582,"Cardiomyopathy, left ventricular noncompaction"
C0878544,Cardiomyopathy(CMYO)
CN230736,Cardiovascular phenotype
C0086543,Cataract (disease)
C4053736,Catecholaminergic polymorphic ventricular tachycardia type 1(CPVT1)
C1631597,Catecholaminergic polymorphic ventricular tachycardia(CPVT1)
C0008031,Chest pain
C0008297,Choanal atresia
C1847554,"Ciliary dyskinesia, primary, 2(CILD2)"
C0264886,Conduction disorder of the heart
C0494261,Congenital combined immunodeficiency
C0270960,Congenital myopathy
C0546264,Congenital myopathy with fiber type disproportion(CFTD)
C1956346,Coronary artery disease
C0587248,Costello syndrome(CSTLO)
C3806917,Craniosynostosis 4(CRS4)
C4022012,Death in early adulthood
C1858430,Death in infancy
C0277828,Delayed cranial suture closure
C1837658,Delayed gross motor development
C0454644,Delayed speech and language development
C0311394,Difficulty walking
CN235865,Dilated cardiomyopathy
C1449563,Dilated cardiomyopathy 1A(CMD1A)
C2750995,Dilated cardiomyopathy 1DD(CMD1DD)
C2750091,Dilated cardiomyopathy 1FF(CMD1FF)
C3150681,Dilated cardiomyopathy 1R(CMD1R)
C1834481,Dilated cardiomyopathy 1S(CMD1S)
C2678476,Dilated cardiomyopathy 1Y(CMD1Y)
C2678474,Dilated cardiomyopathy 2A(CMD2A)
CN239310,"Dilated Cardiomyopathy, Dominant"
CN239222,"Dilated Cardiomyopathy, Recessive"
C0745674,Dilated left ventricle
C0427065,Distal muscle weakness
C0013404,Dyspnea
C0013421,Dystonia
C0013481,Ebstein anomaly of the tricuspid valve
C4025298,Effort-induced polymorphic ventricular tachycardias
C0476403,EMG abnormality
C4025609,EMG: axonal abnormality
C4021726,EMG: myopathic abnormalities
C4021727,EMG: neuropathic changes
C0678230,Epicanthus
C0162292,External ophthalmoplegia(CPEO)
C0264789,Familial cardiomyopathy
C0340427,Familial dilated cardiomyopathy(FDCM)
C3495498,Familial hypertrophic cardiomyopathy 1(CMH1)
C1834460,Familial hypertrophic cardiomyopathy 10(CMH10)
C2677506,Familial hypertrophic cardiomyopathy 11(CMH11)
C1861864,Familial hypertrophic cardiomyopathy 2(CMH2)
C1861863,Familial hypertrophic cardiomyopathy 3(CMH3)
C1861862,Familial hypertrophic cardiomyopathy 4(CMH4)
C1860752,Familial hypertrophic cardiomyopathy 7(CMH7)
C1837471,Familial hypertrophic cardiomyopathy 8(CMH8)
CN239247,Familial Hypertrophic Cardiomyopathy with Wolff-Parkinson-White Syndrome
CN257735,Familial isolated dilated cardiomyopathy
CN570501,Familial isolated restrictive cardiomyopathy
C1861861,Familial restrictive cardiomyopathy 1(RCM1)
C2676271,Familial restrictive cardiomyopathy 3(RCM3)
C0340429,Familial restrictive cardiomyopathy(RCM)
C0085614,First degree atrioventricular block
C1858120,Generalized hypotonia
C0557874,Global developmental delay(DD)
C0239842,Hand tremor
C0018794,Heart block
C0019569,Hirschsprung disease(HSCR)
CN253826,Hyaline body myopathy
C1522133,Hypercholesterolemia
C0428465,Hyperlipidemia
C4025172,Hypermobility of interphalangeal joints
C0007194,Hypertrophic cardiomyopathy
CN262502,Hypokinetic non-dilated cardiomyopathy
C0264162,Idiopathic camptocormia
C0021051,Immunodeficiency
C1849134,Impaired vibration sensation in the lower limbs
C0950123,Inborn genetic diseases
CN221599,Increased left ventricular wall thickness
C1843367,Intellectual disability
C0022821,Kyphosis
C0149721,Left ventricular hypertrophy
C1960469,Left ventricular noncompaction
C3715165,Left ventricular noncompaction 10(LVNC10)
C3150682,Left ventricular noncompaction 4(LVNC4)
C3150690,Left ventricular noncompaction 5(LVNC5)
C1832243,Left ventricular noncompaction 6(CMD1D)
C3808145,Left ventricular noncompaction 9(LVNC9)
C4021133,Left ventricular noncompaction cardiomyopathy
C1854657,Limb fasciculations
C0023976,Long QT syndrome(LQTS)
C0024312,Lymphopenia
C0376358,Malignant tumor of prostate
C4551563,Microcephaly
C4012968,Mild global developmental delay
C0037763,Muscle cramps
C0333751,Muscle fiber atrophy
C0151786,Muscle weakness
C0026827,Muscular hypotonia
C0685707,Muscular ventricular septal defect
C0231528,Myalgia
CN239295,MYBPC3-Related Disorders
CN239297,MYH7-Related Disorders
C4759774,MYH7-related late-onset scapuloperoneal muscular dystrophy(SPMM)
C0026848,Myopathy
C4552004,"Myopathy, distal, 1(MPD1)"
C1850709,"Myopathy, myosin storage, autosomal recessive(MSMB)"
C1842160,Myosin storage myopathy(MSMA)
C1854380,Nemaline myopathy 5(NEM5)
CN239479,"Nemaline Myopathy, Recessive"
C0027868,Neuromuscular disease
C0549423,Noncommunicating hydrocephalus
C1839832,Noncompaction cardiomyopathy
C4024611,Nonprogressive muscular atrophy
CN517202,not provided
CN169374,not specified
C0235480,Paroxysmal atrial fibrillation
C2751898,Paroxysmal familial ventricular fibrillation 1(VF1)
C0016842,Pectus excavatum
C0427064,Pelvic girdle muscle weakness
C1263857,Peripheral axonal neuropathy
C0031117,Peripheral neuropathy
C0022680,Polycystic kidney dysplasia
C0240914,Positive Romberg sign
C0008780,Primary ciliary dyskinesia(PCD)
C0007193,Primary dilated cardiomyopathy(DCM)
C0949658,Primary familial hypertrophic cardiomyopathy(HCM)
C0151878,Prolonged QT interval
C1866010,Proximal muscle weakness in lower limbs
C1866013,Proximal upper limb amyotrophy
C0344975,Pulmonary atresia with intact ventricular septum
C4025008,Reduced systolic function
C0007196,Restrictive cardiomyopathy
C0085615,Right bundle branch block
C2063326,Right ventricular cardiomyopathy
C0432123,Sagittal craniosynostosis
C0240953,Scapular winging
C2931268,Scapuloperoneal myopathy
C0036439,Scoliosis
C0020580,Sensory impairment
C0085110,Severe combined immunodeficiency disease(SCID)
C0349588,Short stature
C0427063,Shoulder girdle muscle weakness
C0575802,Small hand
C0231687,Spastic gait
C0037771,Spastic paraparesis
C1720824,Sudden cardiac arrest
C0085298,Sudden cardiac death(SCD)
C0520806,Sudden unexplained death
C0039240,Supraventricular tachycardia
C0039231,Tachycardia
C0039685,Tetralogy of Fallot(TOF)
C0040822,Tremor
C0151636,Ventricular extrasystoles
C0042510,Ventricular fibrillation
C0042514,Ventricular tachycardia
C0231712,Waddling gait
C0043202,Wolff-Parkinson-White pattern
C1963282,Wolff-Parkinson-White syndrome
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
