entry,Label
217569,Hypertrophic cardiomyopathy
217635,familial restrictive cardiomyopathy
167848,Cardiomyopathy
155,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy
3071,Costello syndrome
217604,dilated cardiomyopathy
217607,familial dilated cardiomyopathy
154,Familial isolated dilated cardiomyopathy
217632,restrictive cardiomyopathy
907,NON RARE IN EUROPE: Wolff-Parkinson-White syndrome
85447,familial amyloid neuropathy
54260,left ventricular noncompaction
300751,dilated cardiomyopathy 1A
130,Brugada syndrome
3286,catecholaminergic polymorphic ventricular tachycardia
388,Hirschsprung disease
247,arrhythmogenic right ventricular cardiomyopathy
75249,Familial isolated restrictive cardiomyopathy
1478,atrial heart septal defect
59135,Laing early-onset distal myopathy
2020,congenital fiber-type disproportion myopathy
437572,MYH7-related late-onset scapuloperoneal muscular dystrophy
97245,congenital myopathy
68381,Neuromuscular disease
1320,idiopathic camptocormia
1880,Ebstein anomaly
183660,severe combined immunodeficiency (disease)
53698,Hyaline body myopathy
3303,tetralogy of fallot
1208,pulmonary atresia-intact ventricular septum syndrome
98902,nemaline myopathy 5
244,primary ciliary dyskinesia
